candidato_id,anno,nombre_candidato,numero_de_votos,nombre_distrito,nombre_normalizado,PARTIDO_CI
GOB-00158-50b44950f1194e099a1819cbc3561ed9,2021,Virginia Daney Siller Tristan,142,11. San Nicolás de los Garza,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00159-c73eb9c09b4f4c78896d138ce1556401,2021,Emilio Jacques Rivera,430,11. San Nicolás de los Garza,emilio jacques rivera,Fuerza por Mexico
GOB-00160-c8073c6073174c48b0c134266c965564,2021,Adrian Emilio De La Garza Santos,"23,091",11. San Nicolás de los Garza,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00161-de76d80135584e019db470ea251fc048,2021,Clara Luz Flores Carrales,"10,070",11. San Nicolás de los Garza,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00162-0f47a71040d64336abd0a3b150b14904,2021,Fernando Alejandro Larrazabal Breton,"12,871",14. Guadalupe,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00163-4caf64444a574c3183a375a4c816b788,2021,Samuel Alejandro García Sepúlveda,"26,435",14. Guadalupe,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00164-a1bd98494f3747eb8594cab930b68b8d,2021,Carolina Maria Garza Guerra,265,14. Guadalupe,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00165-9d6802328bb94181b672bff5ab39f31c,2021,Virginia Daney Siller Tristan,181,14. Guadalupe,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00166-bd6516afbd4d4000b949d4e200299579,2021,Emilio Jacques Rivera,461,14. Guadalupe,emilio jacques rivera,Fuerza por Mexico
GOB-00167-ee1a640a16b64a82b85933ca1606d0c6,2021,Adrian Emilio De La Garza Santos,"15,944",14. Guadalupe,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00168-b7fa28e2e54b42f7ab9bfb1403d339cf,2021,Clara Luz Flores Carrales,"9,464",14. Guadalupe,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00169-7b1e3021509e4aadb009088a084f770d,2021,Fernando Alejandro Larrazabal Breton,"10,030",8. Monterrey,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00170-f2257a5dde2d432891ce403d67304e21,2021,Samuel Alejandro García Sepúlveda,"39,790",8. Monterrey,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00171-fa6563b7acde4fa3b9485747a071b5e5,2021,Carolina Maria Garza Guerra,134,8. Monterrey,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00172-b5d2897cf88343efaeec823febdbcd7d,2021,Virginia Daney Siller Tristan,99,8. Monterrey,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00173-965eab39459a47beaae5e5770496f017,2021,Emilio Jacques Rivera,326,8. Monterrey,emilio jacques rivera,Fuerza por Mexico
GOB-00174-bda1fb928fd841aeb5a1ca6393cd6f1b,2021,Adrian Emilio De La Garza Santos,"35,079",8. Monterrey,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00175-12ae4b974831415fad01710aafbe8a92,2021,Clara Luz Flores Carrales,"5,988",8. Monterrey,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00176-cfe9761e85334cf0a0343e5ee47fcb8b,2021,Fernando Alejandro Larrazabal Breton,"10,477",22. Juárez,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00177-ee329ccdc732419b9e8845e87d56022f,2021,Samuel Alejandro García Sepúlveda,"27,511",22. Juárez,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00178-e671cf0790bc4209944cba49ede33541,2021,Carolina Maria Garza Guerra,239,22. Juárez,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00179-0315e51f3cf64fc88c7b6daff6adfb75,2021,Virginia Daney Siller Tristan,173,22. Juárez,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00180-745a82993ad245b39a5fd3e15e4410e9,2021,Emilio Jacques Rivera,464,22. Juárez,emilio jacques rivera,Fuerza por Mexico
GOB-00181-f1ea2cccf2814939a45e5589999dd99f,2021,Adrian Emilio De La Garza Santos,"20,340",22. Juárez,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00182-2b6ab5f0e7794e7d8c821100957b3dbc,2021,Clara Luz Flores Carrales,"9,793",22. Juárez,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
