candidato_id,anno,nombre_candidato,numero_de_votos,nombre_distrito,nombre_normalizado,PARTIDO_CI
GOB-00031-1ef5f71a0a6a4dda8d8d6878e4310ec6,2021,Carolina Maria Garza Guerra,194,9. San Nicolás de los Garza,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00032-cf04db60d9cb478b90bca318b851352e,2021,Virginia Daney Siller Tristan,139,9. San Nicolás de los Garza,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00033-2d5b045ba07e448e8393b16538bf01f4,2021,Emilio Jacques Rivera,453,9. San Nicolás de los Garza,emilio jacques rivera,Fuerza por Mexico
GOB-00034-386057a4489243a3b0c8ac4d3b30cb25,2021,Adrian Emilio De La Garza Santos,"12,880",9. San Nicolás de los Garza,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00035-677b3a24c7fc43d2b8c0981331b8f520,2021,Clara Luz Flores Carrales,"10,600",9. San Nicolás de los Garza,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00036-158a669f141647bca08cf101e0d6990f,2021,Fernando Alejandro Larrazabal Breton,"13,728",16. Apodaca,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00037-b327b508f1c34f5f810c6409754b1765,2021,Samuel Alejandro García Sepúlveda,"28,487",16. Apodaca,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00038-73370ded722043f4a928cc850b6aa44f,2021,Carolina Maria Garza Guerra,245,16. Apodaca,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00039-63236fa8223848a4924f16b08264c02c,2021,Virginia Daney Siller Tristan,185,16. Apodaca,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00040-02064ca257df4c649710ae02deebc8f9,2021,Emilio Jacques Rivera,488,16. Apodaca,emilio jacques rivera,Fuerza por Mexico
GOB-00041-d200ad833ef3432280c71143b521d882,2021,Adrian Emilio De La Garza Santos,"17,796",16. Apodaca,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
